1649086500000,47245.720000,47208.000000,47248.120000,47141.340000,0.208155
1649086800000,47219.180000,47185.280000,47236.440000,47183.690000,0.142157
1649087100000,47203.490000,47205.830000,47239.580000,47203.490000,0.134296
1649087400000,47228.850000,47241.610000,47241.610000,47212.810000,0.116639
1649087700000,47208.940000,47151.580000,47220.280000,47086.900000,0.303717
1649088000000,47167.080000,47114.870000,47244.240000,47086.080000,0.160507
1649088300000,47167.580000,47214.530000,47218.080000,47079.450000,0.123837
1649088600000,47210.080000,47266.570000,47266.570000,47169.260000,0.160144
1649088900000,47257.570000,47318.250000,47318.250000,47237.990000,0.101335
1649089200000,47264.520000,47250.440000,47264.520000,47250.260000,0.006003
1649089500000,47265.680000,47256.280000,47272.600000,47249.000000,0.159418
1649089800000,47255.750000,47275.920000,47283.090000,47255.750000,0.117716
1649090100000,47249.660000,47253.030000,47253.030000,47150.530000,0.106882
1649090400000,47203.090000,47197.670000,47211.180000,47183.600000,0.097593
1649090700000,47218.690000,47263.920000,47299.680000,47182.010000,0.132774
1649091000000,47275.580000,47257.860000,47308.560000,47222.090000,0.204035
1649091300000,47241.130000,47218.050000,47267.510000,47218.050000,0.144888
1649091600000,47216.580000,47200.470000,47245.300000,47200.470000,0.125288
1649091900000,47202.540000,47201.290000,47202.540000,47200.460000,0.182775
1649092200000,47254.550000,47247.880000,47259.200000,47224.920000,0.166474
1649092500000,47230.310000,47267.100000,47269.260000,47214.120000,0.120664
1649092800000,47274.090000,47269.250000,47307.710000,47251.520000,0.178740
1649093100000,47245.860000,47220.930000,47245.860000,47212.410000,0.197713
1649093400000,47248.060000,47218.290000,47248.060000,47200.610000,0.140743
1649093700000,47213.050000,47136.350000,47322.450000,47136.350000,0.299505
1649094000000,47166.140000,46843.790000,47166.140000,46700.000000,2.306937
1649094300000,46881.420000,46841.020000,46999.320000,46840.420000,0.318174
1649094600000,46844.920000,46959.590000,46959.590000,46801.600000,0.182060
1649094900000,46966.190000,46927.800000,46966.190000,46888.890000,0.244966
1649095200000,46891.420000,46873.060000,46895.110000,46800.660000,0.246494
