1650139200000,40216.360000,40231.630000,40231.630000,40211.210000,0.139648
1650139500000,40215.330000,40228.840000,40228.990000,40211.580000,0.137845
1650139800000,40239.570000,40199.670000,40239.570000,40199.350000,0.150309
1650140100000,40209.050000,40212.290000,40215.340000,40206.220000,0.117205
1650140400000,40211.290000,40206.300000,40220.410000,40200.600000,0.168967
1650140700000,40200.610000,40219.590000,40219.590000,40200.610000,0.173288
1650141000000,40216.770000,40226.320000,40233.500000,40216.770000,0.182000
1650141300000,40231.260000,40217.160000,40232.630000,40217.160000,0.189025
1650141600000,40216.670000,40219.000000,40236.620000,40216.640000,0.165004
1650141900000,40217.320000,40231.630000,40231.630000,40213.780000,0.166721
1650142200000,40233.710000,40335.140000,40368.000000,40233.040000,0.283505
1650142500000,40336.450000,40296.860000,40343.460000,40296.860000,0.120449
1650142800000,40298.230000,40317.000000,40330.560000,40298.230000,0.157888
1650143100000,40314.790000,40312.680000,40339.870000,40311.190000,0.114140
1650143400000,40313.440000,40308.140000,40316.290000,40299.680000,0.123505
1650143700000,40311.990000,40314.000000,40314.000000,40299.640000,0.171925
1650144000000,40312.370000,40330.080000,40330.080000,40301.040000,0.172658
1650144300000,40349.700000,40380.020000,40380.020000,40349.700000,0.209427
1650144600000,40389.990000,40363.270000,40389.990000,40363.270000,0.130875
1650144900000,40357.570000,40381.550000,40382.520000,40357.570000,0.132376
1650145200000,40388.160000,40428.100000,40428.100000,40388.160000,0.142363
1650145500000,40425.980000,40498.030000,40568.480000,40416.500000,0.449523
1650145800000,40509.530000,40491.830000,40536.150000,40482.520000,0.186634
1650146100000,40499.850000,40515.520000,40515.520000,40476.880000,0.164107
1650146400000,40522.000000,40570.440000,40619.990000,40514.680000,0.444023
1650146700000,40560.170000,40638.620000,40638.620000,40560.170000,0.253168
1650147000000,40638.010000,40586.890000,40680.000000,40586.890000,0.387329
1650147300000,40588.500000,40560.320000,40588.500000,40558.280000,0.090850
1650147600000,40554.230000,40537.400000,40569.560000,40443.150000,0.271133
1650147900000,40537.000000,40502.140000,40537.000000,40492.110000,0.131555
1650148200000,40516.460000,40469.270000,40516.460000,40452.200000,0.155400
1650148500000,40480.230000,40450.760000,40480.790000,40450.760000,0.200505
1650148800000,40465.030000,40458.460000,40470.340000,40445.950000,0.146276
1650149100000,40465.160000,40440.180000,40472.810000,40440.180000,0.166919
1650149400000,40434.190000,40414.410000,40439.320000,40406.010000,0.150547
1650149700000,40404.990000,40421.790000,40428.990000,40404.990000,0.097145
1650150000000,40404.270000,40414.260000,40414.260000,40402.620000,0.119825
1650150300000,40414.890000,40428.180000,40428.180000,40414.890000,0.131726
1650150600000,40428.930000,40401.370000,40435.070000,40401.370000,0.145268
1650150900000,40402.430000,40427.560000,40427.560000,40400.030000,0.188618
1650151200000,40429.120000,40432.790000,40433.440000,40424.980000,0.144434
1650151500000,40431.390000,40467.590000,40467.590000,40431.390000,0.168899
1650151800000,40470.480000,40460.600000,40471.630000,40449.000000,0.166569
1650152100000,40459.720000,40446.520000,40459.720000,40441.010000,0.128348
1650152400000,40465.100000,40485.090000,40491.640000,40465.100000,0.133743
1650152700000,40482.000000,40419.550000,40482.000000,40419.550000,0.140194
1650153000000,40412.340000,40388.000000,40412.340000,40384.540000,0.043663
1650153300000,40403.730000,40403.730000,40403.730000,40403.730000,0.020600
1650153600000,40373.310000,40394.990000,40394.990000,40372.580000,0.116809
1650153900000,40394.990000,40404.330000,40404.330000,40369.440000,0.114514
1650154200000,40411.620000,40371.080000,40415.370000,40369.740000,0.136949
1650154500000,40375.330000,40381.290000,40382.170000,40370.030000,0.120230
1650154800000,40385.100000,40365.970000,40396.690000,40365.640000,0.126598
1650155100000,40365.720000,40334.990000,40365.720000,40323.990000,0.098605
1650155400000,40339.350000,40366.540000,40366.540000,40328.410000,0.201685
1650155700000,40373.890000,40368.500000,40373.890000,40358.900000,0.117540
1650156000000,40375.080000,40352.020000,40376.690000,40351.880000,0.135273
1650156300000,40357.770000,40376.160000,40376.160000,40357.770000,0.147091
1650156600000,40376.870000,40392.670000,40395.770000,40376.870000,0.091464
1650156900000,40384.390000,40376.620000,40384.390000,40376.620000,0.131186
1650157200000,40382.670000,40386.140000,40386.140000,40381.230000,0.126300
1650157500000,40391.180000,40361.760000,40392.660000,40348.450000,0.155819
1650157800000,40379.590000,40353.950000,40382.110000,40349.160000,0.119258
1650158100000,40361.240000,40333.810000,40361.240000,40332.070000,0.110464
1650158400000,40344.480000,40375.650000,40375.650000,40340.350000,0.118642
1650158700000,40381.690000,40391.700000,40398.410000,40378.920000,0.190004
1650159000000,40391.760000,40374.750000,40391.760000,40369.740000,0.141511
1650159300000,40374.510000,40393.150000,40393.150000,40374.510000,0.126609
1650159600000,40391.310000,40390.020000,40397.950000,40390.020000,0.118980
1650159900000,40396.450000,40414.000000,40425.140000,40396.450000,0.514351
1650160200000,40411.340000,40402.260000,40413.990000,40396.940000,0.159335
1650160500000,40406.080000,40400.590000,40412.990000,40400.590000,0.136675
1650160800000,40399.070000,40392.190000,40399.640000,40382.510000,0.108680
1650161100000,40372.750000,40377.940000,40384.970000,40372.750000,0.077949
1650161400000,40381.810000,40383.970000,40384.030000,40369.550000,0.151274
1650161700000,40383.720000,40362.060000,40384.500000,40362.060000,0.165870
1650162000000,40364.850000,40360.240000,40370.990000,40358.190000,0.171579
1650162300000,40359.590000,40272.000000,40359.590000,40265.220000,0.357805
1650162600000,40267.800000,40265.600000,40270.790000,40253.700000,0.068967
1650162900000,40250.010000,40252.150000,40273.050000,40250.010000,0.152650
1650163200000,40246.850000,40198.410000,40246.850000,40198.410000,0.155213
1650163500000,40210.400000,40186.630000,40210.400000,40176.150000,0.089924
1650163800000,40182.940000,40180.820000,40182.940000,40151.970000,0.130434
1650164100000,40179.090000,40178.320000,40198.580000,40178.320000,0.086711
1650164400000,40168.690000,40187.780000,40187.780000,40168.500000,0.130842
1650164700000,40175.020000,40178.700000,40187.990000,40140.420000,0.088662
1650165000000,40176.580000,40187.220000,40187.220000,40165.000000,0.109283
1650165300000,40188.020000,40207.260000,40207.260000,40188.020000,0.139046
1650165600000,40209.010000,40222.480000,40243.970000,40207.480000,0.115294
1650165900000,40231.100000,40233.720000,40233.720000,40224.000000,0.167025
1650166200000,40239.880000,40255.270000,40258.050000,40239.880000,0.157803
1650166500000,40259.880000,40289.010000,40289.010000,40259.880000,0.122563
1650166800000,40287.040000,40278.590000,40287.040000,40275.820000,0.137000
1650167100000,40289.990000,40285.000000,40296.920000,40284.390000,0.158671
1650167400000,40294.790000,40290.390000,40298.600000,40284.200000,0.159035
1650167700000,40289.680000,40250.750000,40298.740000,40250.750000,0.248670
1650168000000,40249.340000,40270.740000,40274.170000,40249.340000,0.093960
1650168300000,40268.640000,40283.930000,40283.930000,40267.170000,0.173880
1650168600000,40277.190000,40293.360000,40293.360000,40277.190000,0.115888
1650168900000,40282.530000,40323.520000,40331.740000,40282.530000,0.076224
1650169200000,40317.670000,40327.020000,40328.300000,40317.670000,0.158991
1650169500000,40326.150000,40308.220000,40328.000000,40305.520000,0.145967
1650169800000,40314.470000,40303.580000,40314.470000,40285.250000,0.108254
1650170100000,40302.520000,40311.300000,40316.690000,40302.520000,0.120778
